I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
378,389,376,604,683,746,475,395,719,0,0,0,0,0,0,0
379,390,376,606,685,748,474,396,720,0,0,0,0,0,0,0
379,390,376,606,685,749,475,396,719,0,0,0,0,0,0,0
379,390,376,606,685,750,477,395,713,0,0,0,0,0,0,0
379,390,376,606,686,750,478,395,715,0,0,0,0,0,0,0
378,389,375,605,685,748,478,395,714,0,0,0,0,0,0,0
377,387,375,604,686,748,478,396,714,0,0,0,0,0,0,0
379,389,375,605,684,750,477,395,707,0,0,0,0,0,0,0
377,388,374,604,682,750,477,394,710,0,0,0,0,0,0,0
377,388,374,605,684,751,478,395,708,0,0,0,0,0,0,0
377,388,375,605,685,752,478,395,707,0,0,0,0,0,0,0
378,388,376,605,686,751,479,396,707,0,0,0,0,0,0,0
378,389,375,605,686,751,479,395,707,0,0,0,0,0,0,0
378,389,376,605,687,752,479,395,708,0,0,0,0,0,0,0
378,389,375,605,686,752,479,396,708,0,0,0,0,0,0,0
378,389,375,605,687,752,479,395,706,0,0,0,0,0,0,0
378,390,375,605,686,752,479,394,706,0,0,0,0,0,0,0
378,390,375,605,686,752,479,394,706,0,0,0,0,0,0,0
377,389,375,604,686,753,479,394,705,0,0,0,0,0,0,0
378,390,375,606,687,753,480,395,707,0,0,0,0,0,0,0
379,389,376,605,688,752,479,395,705,0,0,0,0,0,0,0
378,389,375,605,685,752,478,395,707,0,0,0,0,0,0,0
377,388,374,604,686,752,478,395,706,0,0,0,0,0,0,0
377,388,375,605,685,752,477,394,704,0,0,0,0,0,0,0
378,388,374,605,684,753,478,393,704,0,0,0,0,0,0,0
377,388,375,605,684,753,477,394,704,0,0,0,0,0,0,0
378,389,374,605,686,750,477,394,706,0,0,0,0,0,0,0
377,388,374,605,684,745,477,393,704,0,0,0,0,0,0,0
377,387,374,605,684,747,478,394,703,0,0,0,0,0,0,0
377,387,373,605,683,747,478,393,702,0,0,0,0,0,0,0
377,387,374,605,684,747,478,394,704,0,0,0,0,0,0,0
376,387,373,605,680,749,478,393,702,0,0,0,0,0,0,0
