I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
353,345,339,579,677,750,439,350,532,0,0,0,0,0,0,1
352,345,339,582,678,752,440,350,530,0,0,0,0,0,0,1
352,344,338,581,675,752,439,350,531,0,0,0,0,0,0,1
350,342,336,585,673,749,437,348,527,0,0,0,0,0,0,1
350,342,337,581,674,748,439,348,528,0,0,0,0,0,0,1
352,343,338,585,678,748,439,349,529,0,0,0,0,0,0,1
352,345,339,582,681,749,441,350,530,0,0,0,0,0,0,1
354,345,339,584,680,750,441,350,530,0,0,0,0,0,0,1
353,344,338,583,675,750,440,349,529,0,0,0,0,0,0,1
353,344,339,582,676,752,440,350,529,0,0,0,0,0,0,1
353,345,338,586,674,753,441,351,530,0,0,0,0,0,0,1
354,345,339,586,676,753,442,351,530,0,0,0,0,0,0,1
354,346,340,585,678,753,442,351,532,0,0,0,0,0,0,1
356,347,340,588,679,755,443,352,533,0,0,0,0,0,0,1
354,346,339,587,679,754,442,351,531,0,0,0,0,0,0,1
349,345,339,587,680,753,441,351,532,0,0,0,0,0,0,1
350,346,339,589,677,755,442,351,533,0,0,0,0,0,0,1
348,346,340,589,679,756,443,351,532,0,0,0,0,0,0,1
357,348,341,587,680,756,445,353,534,0,0,0,0,0,0,1
356,348,341,592,680,757,445,353,534,0,0,0,0,0,0,1
357,348,341,591,679,757,444,353,535,0,0,0,0,0,0,1
356,348,341,593,678,757,445,353,534,0,0,0,0,0,0,1
356,348,341,592,679,757,445,352,534,0,0,0,0,0,0,1
356,347,339,601,678,757,444,352,534,0,0,0,0,0,0,1
356,347,340,598,678,757,444,352,533,0,0,0,0,0,0,1
354,346,339,603,676,758,444,352,534,0,0,0,0,0,0,1
356,348,340,600,678,758,443,352,533,0,0,0,0,0,0,1
357,347,340,596,679,758,444,353,533,0,0,0,0,0,0,1
356,347,340,595,677,758,444,352,534,0,0,0,0,0,0,1
357,348,341,596,680,759,445,353,534,0,0,0,0,0,0,1
