I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
547,583,579,705,745,838,700,517,667,518,434,434,562,571,433,2
546,583,580,705,746,836,700,516,667,518,434,434,563,571,434,2
546,583,580,706,745,837,701,516,667,518,434,435,563,571,434,2
546,583,580,706,747,836,701,517,667,518,434,434,563,572,434,2
549,584,580,706,745,834,701,517,667,519,434,435,563,572,434,2
550,584,580,706,745,831,702,517,668,519,434,434,563,572,434,2
549,584,581,706,746,836,702,518,668,519,434,435,563,572,435,2
550,584,581,707,748,839,702,518,669,520,435,435,564,573,435,2
551,584,581,707,747,838,702,519,669,520,435,436,566,574,435,2
551,584,581,707,747,835,702,518,669,520,436,436,565,574,436,2
551,585,581,707,748,837,702,519,669,520,436,437,566,575,436,2
556,585,582,708,749,837,703,520,669,521,436,437,566,575,437,2
556,585,582,707,748,834,703,519,669,520,436,437,566,574,436,2
551,584,581,707,747,837,703,519,669,520,436,436,566,574,436,2
550,584,581,707,746,832,702,518,669,519,436,436,566,575,436,2
550,584,581,707,746,832,703,518,669,520,436,436,566,574,436,2
551,585,581,708,749,837,703,519,669,520,436,436,566,575,436,2
550,586,583,708,749,840,703,518,669,520,436,437,566,575,436,2
549,585,582,708,749,840,703,518,670,520,435,436,566,575,435,2
549,584,581,708,746,841,702,518,669,520,435,436,566,575,436,2
549,585,581,707,744,842,703,519,669,520,436,436,566,574,435,2
549,585,582,708,747,840,703,519,669,521,436,437,567,576,436,2
549,585,582,708,748,841,703,519,669,521,436,437,567,576,436,2
550,586,583,708,748,841,703,519,670,521,437,437,567,576,436,2
549,586,582,708,748,842,703,519,669,521,436,437,567,576,436,2
549,586,583,708,745,842,703,519,670,521,437,437,567,576,437,2
549,585,582,708,747,843,703,519,670,521,436,437,568,576,436,2
547,585,582,708,746,843,703,519,670,520,436,436,567,576,436,2
547,585,582,708,749,843,703,519,670,521,436,437,567,576,436,2
547,586,583,708,749,843,703,519,670,521,436,437,568,577,436,2
547,587,583,708,749,842,703,520,670,521,437,437,568,577,437,2
548,586,584,708,750,842,703,520,670,521,437,437,569,578,437,2
547,587,584,708,750,842,704,520,670,521,437,437,569,578,436,2
547,587,583,708,749,842,703,519,670,521,436,437,568,577,436,2
547,586,583,707,750,842,703,520,670,521,436,437,569,578,436,2
546,586,583,707,750,841,704,519,670,521,437,437,570,578,436,2
546,586,584,708,750,841,704,520,671,521,437,437,570,579,436,2
547,588,584,708,750,842,703,519,670,521,437,437,570,579,437,2
547,587,584,707,750,842,704,520,671,521,437,438,571,579,437,2
547,588,585,708,750,842,704,520,670,521,437,438,571,580,437,2
549,588,585,707,750,841,704,521,670,522,436,438,570,580,437,2
549,588,585,708,751,840,704,520,671,522,437,438,571,580,437,2
549,588,585,707,750,839,703,520,671,522,437,438,570,580,437,2
548,588,585,708,751,839,704,521,671,522,438,438,571,580,437,2
547,588,585,708,750,840,703,520,671,522,437,437,570,580,437,2
547,588,585,708,751,841,704,520,671,522,437,438,571,580,437,2
547,588,584,708,751,841,703,520,671,522,437,437,570,579,437,2
547,588,585,708,751,842,703,520,671,521,436,437,570,579,436,2
547,588,585,708,751,843,704,520,671,522,437,437,570,579,437,2
547,587,584,707,749,842,703,519,670,521,436,437,569,579,436,2
