I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
531,557,556,676,724,836,685,539,655,592,509,750,455,605,452,3
531,556,555,673,721,837,685,538,655,590,507,742,455,605,451,3
528,555,554,673,718,837,684,537,655,590,508,732,453,606,450,3
528,554,553,672,718,838,684,534,655,590,508,738,454,606,450,3
529,556,555,672,721,837,685,535,656,591,510,741,455,607,452,3
530,557,557,674,719,836,685,535,655,588,512,748,456,608,452,3
531,559,557,675,722,836,686,538,656,589,512,757,457,607,453,3
532,559,557,675,722,837,686,538,656,589,512,758,456,607,453,3
531,558,556,674,721,836,686,539,657,590,513,757,456,606,453,3
531,558,557,675,722,837,686,538,657,588,514,755,456,605,453,3
531,558,557,676,722,837,686,538,656,589,514,748,456,602,452,3
531,558,557,676,725,837,686,538,658,589,514,750,456,601,451,3
532,559,557,675,725,836,686,539,657,591,514,749,456,603,453,3
532,559,557,676,726,836,686,539,657,590,513,747,455,604,452,3
532,559,558,676,726,835,686,538,654,587,515,750,456,605,453,3
532,559,558,677,726,836,687,539,655,591,517,757,456,605,454,3
532,560,557,677,722,835,687,538,655,588,518,749,456,606,453,3
532,557,557,677,726,837,686,537,652,589,520,750,455,601,452,3
530,558,557,674,720,836,686,537,653,588,521,749,454,599,452,3
530,559,558,675,724,835,686,537,655,588,523,757,455,602,453,3
531,560,558,675,721,836,687,537,654,590,523,759,455,603,453,3
532,559,558,675,724,836,687,537,650,589,524,761,455,605,454,3
531,559,558,674,721,836,686,537,649,587,523,759,454,604,454,3
532,559,558,673,721,836,687,536,651,588,525,764,455,605,454,3
530,558,557,674,721,836,687,537,647,587,524,760,455,606,454,3
533,559,558,675,725,837,688,538,646,588,526,765,456,608,455,3
532,559,558,676,721,836,688,538,642,588,527,763,456,606,455,3
532,560,558,676,718,837,688,538,645,589,520,767,455,600,453,3
530,558,558,676,722,837,688,536,645,586,518,764,454,597,452,3
531,559,558,677,720,837,688,536,645,587,518,762,455,595,453,3
532,559,558,677,721,836,688,539,646,590,519,761,454,595,452,3
532,559,558,677,720,837,688,539,646,587,518,747,454,593,452,3
532,560,558,676,723,837,688,535,646,586,518,745,453,592,451,3
529,559,558,675,721,837,689,536,647,587,519,764,455,591,452,3
531,561,559,676,721,837,688,537,647,589,520,765,456,591,454,3
533,561,560,677,724,836,690,538,648,592,521,766,456,590,453,3
533,561,559,677,725,837,689,539,648,592,519,764,456,591,454,3
534,562,560,678,723,837,690,539,648,592,515,751,454,588,451,3
531,561,560,679,726,836,690,540,655,593,509,767,456,586,454,3
534,563,561,678,727,837,690,539,655,594,509,771,457,587,454,3
534,563,562,679,724,837,691,541,657,594,507,775,457,584,454,3
533,561,560,679,726,838,690,538,655,592,502,762,455,584,452,3
533,561,560,679,727,837,688,522,652,590,499,754,453,586,449,3
530,560,559,679,727,837,689,522,650,590,501,752,453,589,451,3
530,559,558,678,727,838,689,522,651,590,503,760,453,591,451,3
530,558,556,678,726,837,689,522,650,589,504,763,454,594,452,3
