I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
346,364,364,350,745,890,363,356,639,0,0,0,0,0,0,4
346,363,363,349,746,890,366,350,639,0,0,0,0,0,0,4
347,364,364,349,746,891,366,350,638,0,0,0,0,0,0,4
348,365,365,350,745,890,367,350,638,0,0,0,0,0,0,4
347,363,363,350,745,891,368,358,638,0,0,0,0,0,0,4
345,361,361,348,744,891,363,348,639,0,0,0,0,0,0,4
345,360,360,348,744,891,364,349,639,0,0,0,0,0,0,4
346,363,363,349,744,891,365,350,639,0,0,0,0,0,0,4
347,364,364,350,745,891,367,350,640,0,0,0,0,0,0,4
348,365,365,350,745,890,369,351,640,0,0,0,0,0,0,4
348,367,367,351,745,891,368,352,640,0,0,0,0,0,0,4
348,366,367,351,745,891,369,352,640,0,0,0,0,0,0,4
349,367,368,352,746,891,372,360,641,0,0,0,0,0,0,4
350,368,368,353,746,890,373,360,641,0,0,0,0,0,0,4
349,367,367,352,746,891,371,359,641,0,0,0,0,0,0,4
350,369,368,353,745,891,373,360,642,0,0,0,0,0,0,4
350,368,368,353,745,890,372,359,642,0,0,0,0,0,0,4
349,366,367,352,746,890,371,358,642,0,0,0,0,0,0,4
349,366,366,351,745,890,370,359,642,0,0,0,0,0,0,4
349,366,366,353,745,890,372,359,642,0,0,0,0,0,0,4
350,367,367,353,746,890,375,360,643,0,0,0,0,0,0,4
350,367,367,352,746,890,375,360,642,0,0,0,0,0,0,4
350,367,367,353,746,890,374,360,643,0,0,0,0,0,0,4
350,368,368,353,746,890,376,361,643,0,0,0,0,0,0,4
351,368,368,353,745,890,377,360,644,0,0,0,0,0,0,4
351,369,369,353,745,890,377,361,644,0,0,0,0,0,0,4
351,368,368,353,746,890,376,361,644,0,0,0,0,0,0,4
351,370,369,354,746,890,378,362,645,0,0,0,0,0,0,4
352,371,371,355,746,890,380,363,645,0,0,0,0,0,0,4
353,372,371,355,746,890,381,363,644,0,0,0,0,0,0,4
353,371,371,355,746,890,382,363,645,0,0,0,0,0,0,4
353,371,372,355,746,890,383,363,646,0,0,0,0,0,0,4
353,371,371,356,746,890,384,363,645,0,0,0,0,0,0,4
353,372,372,356,746,890,385,363,646,0,0,0,0,0,0,4
352,371,370,356,747,890,385,363,646,0,0,0,0,0,0,4
354,372,372,357,746,889,387,363,646,0,0,0,0,0,0,4
354,372,372,357,746,890,387,363,647,0,0,0,0,0,0,4
354,372,373,358,747,890,388,365,647,0,0,0,0,0,0,4
354,371,372,357,747,890,386,365,646,0,0,0,0,0,0,4
353,370,370,355,747,890,385,363,646,0,0,0,0,0,0,4
354,371,371,356,747,890,386,363,646,0,0,0,0,0,0,4
355,373,372,357,747,889,388,365,647,0,0,0,0,0,0,4
354,372,373,358,747,889,389,364,647,0,0,0,0,0,0,4
353,371,371,356,747,890,384,363,646,0,0,0,0,0,0,4
353,371,371,356,748,889,385,364,647,0,0,0,0,0,0,4
354,371,371,356,748,889,386,363,647,0,0,0,0,0,0,4
354,371,371,356,748,889,389,364,647,0,0,0,0,0,0,4
354,371,372,357,748,889,389,365,648,0,0,0,0,0,0,4
355,372,372,359,748,889,389,365,647,0,0,0,0,0,0,4
354,371,371,358,750,889,387,364,647,0,0,0,0,0,0,4
355,372,372,358,750,888,389,366,647,0,0,0,0,0,0,4
356,374,374,358,750,889,388,365,647,0,0,0,0,0,0,4
355,373,373,358,750,889,390,365,648,0,0,0,0,0,0,4
357,375,374,358,750,889,390,365,648,0,0,0,0,0,0,4
356,373,373,358,749,889,391,366,647,0,0,0,0,0,0,4
354,371,371,357,749,889,389,364,645,0,0,0,0,0,0,4
355,373,372,357,750,889,391,365,646,0,0,0,0,0,0,4
355,373,374,358,750,889,391,366,646,0,0,0,0,0,0,4
356,374,374,358,751,889,394,366,646,0,0,0,0,0,0,4
356,375,374,359,751,889,395,367,646,0,0,0,0,0,0,4
357,376,376,360,751,888,396,368,646,0,0,0,0,0,0,4
357,377,376,360,751,888,396,367,646,0,0,0,0,0,0,4
358,377,377,361,751,888,399,367,648,0,0,0,0,0,0,4
358,378,378,360,751,888,395,368,648,0,0,0,0,0,0,4
357,378,377,360,751,889,395,368,648,0,0,0,0,0,0,4
358,378,378,361,751,888,397,368,648,0,0,0,0,0,0,4
359,378,378,361,751,888,400,369,649,0,0,0,0,0,0,4
358,377,377,361,750,889,399,368,649,0,0,0,0,0,0,4
359,378,378,361,750,889,401,368,648,0,0,0,0,0,0,4
359,379,379,362,751,889,401,369,649,0,0,0,0,0,0,4
359,379,378,361,750,889,398,369,649,0,0,0,0,0,0,4
359,378,378,361,751,890,400,369,649,0,0,0,0,0,0,4
359,380,380,363,751,889,403,370,650,0,0,0,0,0,0,4
359,379,379,362,751,889,400,370,649,0,0,0,0,0,0,4
359,377,377,361,751,885,402,370,650,0,0,0,0,0,0,4
358,377,377,362,751,887,400,369,649,0,0,0,0,0,0,4
358,377,377,361,751,889,395,369,650,0,0,0,0,0,0,4
359,378,378,361,751,889,399,370,650,0,0,0,0,0,0,4
359,379,379,362,751,889,401,370,650,0,0,0,0,0,0,4
360,380,380,364,752,889,404,371,651,0,0,0,0,0,0,4
361,381,381,364,752,889,406,372,651,0,0,0,0,0,0,4
361,381,381,364,753,890,407,372,651,0,0,0,0,0,0,4
360,379,379,364,752,890,403,370,651,0,0,0,0,0,0,4
360,380,380,363,752,890,402,369,651,0,0,0,0,0,0,4
360,380,381,363,753,890,402,369,651,0,0,0,0,0,0,4
359,379,379,362,753,890,401,369,651,0,0,0,0,0,0,4
360,380,380,362,753,890,399,368,651,0,0,0,0,0,0,4
359,379,378,361,752,890,396,367,651,0,0,0,0,0,0,4
359,379,379,363,753,889,401,368,651,0,0,0,0,0,0,4
360,380,380,363,753,889,403,368,651,0,0,0,0,0,0,4
360,379,378,363,754,889,402,368,652,0,0,0,0,0,0,4
359,379,379,362,753,889,401,370,651,0,0,0,0,0,0,4
360,380,381,363,754,889,402,370,652,0,0,0,0,0,0,4
360,380,381,363,754,889,404,370,652,0,0,0,0,0,0,4
360,381,381,363,755,889,405,371,652,0,0,0,0,0,0,4
360,382,381,363,754,890,405,364,651,0,0,0,0,0,0,4
359,381,382,364,755,890,406,372,652,0,0,0,0,0,0,4
361,383,383,365,755,889,409,372,652,0,0,0,0,0,0,4
361,381,382,365,755,889,409,372,652,0,0,0,0,0,0,4
362,383,383,365,755,890,407,372,652,0,0,0,0,0,0,4
361,383,383,365,755,890,408,371,653,0,0,0,0,0,0,4
362,383,383,365,756,889,410,372,653,0,0,0,0,0,0,4
362,384,384,366,756,889,411,373,653,0,0,0,0,0,0,4
362,385,386,366,756,889,412,374,653,0,0,0,0,0,0,4
361,383,384,365,758,890,411,372,653,0,0,0,0,0,0,4
360,382,383,365,757,889,413,373,653,0,0,0,0,0,0,4
362,384,383,365,767,890,411,370,652,0,0,0,0,0,0,4
362,384,385,366,758,889,412,373,653,0,0,0,0,0,0,4
362,385,385,365,758,889,411,373,653,0,0,0,0,0,0,4
363,385,384,366,757,889,415,373,654,0,0,0,0,0,0,4
363,385,385,367,756,889,416,374,654,0,0,0,0,0,0,4
364,386,386,367,757,889,416,374,655,0,0,0,0,0,0,4
364,386,387,368,757,888,417,374,655,0,0,0,0,0,0,4
363,385,385,367,756,889,414,374,654,0,0,0,0,0,0,4
364,386,387,368,757,888,416,375,655,0,0,0,0,0,0,4
364,386,386,367,757,889,414,375,655,0,0,0,0,0,0,4
363,385,386,367,757,889,415,374,655,0,0,0,0,0,0,4
364,385,385,367,756,889,412,373,655,0,0,0,0,0,0,4
363,384,384,366,756,889,415,373,655,0,0,0,0,0,0,4
365,386,386,368,756,889,419,376,656,0,0,0,0,0,0,4
364,386,386,368,756,889,419,375,655,0,0,0,0,0,0,4
365,385,385,368,757,889,418,376,655,0,0,0,0,0,0,4
365,387,387,368,757,889,417,375,655,0,0,0,0,0,0,4
364,386,385,365,757,889,407,373,655,0,0,0,0,0,0,4
364,385,386,366,757,889,414,375,655,0,0,0,0,0,0,4
364,386,386,366,757,889,415,375,655,0,0,0,0,0,0,4
364,386,386,367,756,889,414,375,656,0,0,0,0,0,0,4
366,389,389,369,756,889,418,377,656,0,0,0,0,0,0,4
366,389,390,370,756,888,421,378,656,0,0,0,0,0,0,4
367,390,390,370,756,889,421,378,657,0,0,0,0,0,0,4
367,390,391,370,756,889,421,378,657,0,0,0,0,0,0,4
366,389,390,371,756,889,421,378,656,0,0,0,0,0,0,4
367,390,390,371,756,889,422,378,657,0,0,0,0,0,0,4
367,391,390,371,756,889,423,378,657,0,0,0,0,0,0,4
367,390,390,370,756,889,419,377,657,0,0,0,0,0,0,4
366,387,387,369,756,889,420,377,656,0,0,0,0,0,0,4
365,387,387,369,756,889,421,377,657,0,0,0,0,0,0,4
366,389,388,369,755,889,419,377,657,0,0,0,0,0,0,4
366,389,389,369,755,889,416,377,657,0,0,0,0,0,0,4
366,389,390,370,755,889,421,377,657,0,0,0,0,0,0,4
367,391,390,370,755,889,422,378,657,0,0,0,0,0,0,4
367,391,391,371,756,889,423,378,658,0,0,0,0,0,0,4
367,391,391,371,756,889,422,378,658,0,0,0,0,0,0,4
368,392,392,371,756,889,422,378,658,0,0,0,0,0,0,4
368,392,392,371,756,889,423,379,658,0,0,0,0,0,0,4
368,391,392,371,756,889,423,379,658,0,0,0,0,0,0,4
368,393,392,372,756,889,425,379,658,0,0,0,0,0,0,4
368,391,391,370,756,889,423,378,658,0,0,0,0,0,0,4
368,392,393,371,756,888,425,379,658,0,0,0,0,0,0,4
368,392,392,372,756,889,427,379,658,0,0,0,0,0,0,4
368,392,392,372,756,889,425,379,658,0,0,0,0,0,0,4
368,391,391,371,756,889,421,378,658,0,0,0,0,0,0,4
367,391,391,371,756,889,420,378,658,0,0,0,0,0,0,4
