I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
396,395,394,701,732,402,718,413,403,0,0,0,0,0,0,5
396,394,394,701,732,401,718,414,403,0,0,0,0,0,0,5
396,395,394,702,731,402,718,414,403,0,0,0,0,0,0,5
396,394,394,701,731,401,717,413,403,0,0,0,0,0,0,5
397,394,394,702,732,402,717,414,403,0,0,0,0,0,0,5
397,395,394,702,732,402,717,414,404,0,0,0,0,0,0,5
397,394,395,702,732,402,716,414,403,0,0,0,0,0,0,5
397,395,395,702,731,403,717,414,404,0,0,0,0,0,0,5
397,394,394,703,732,402,717,414,405,0,0,0,0,0,0,5
397,394,395,703,734,402,717,415,404,0,0,0,0,0,0,5
397,395,395,703,734,401,717,415,404,0,0,0,0,0,0,5
397,395,395,703,734,402,717,415,405,0,0,0,0,0,0,5
397,395,395,703,734,401,717,415,405,0,0,0,0,0,0,5
397,395,395,704,734,402,717,415,406,0,0,0,0,0,0,5
397,395,394,703,735,403,717,415,407,0,0,0,0,0,0,5
397,395,395,703,733,402,717,415,407,0,0,0,0,0,0,5
397,395,395,704,735,401,717,415,406,0,0,0,0,0,0,5
398,396,395,704,736,403,718,416,408,0,0,0,0,0,0,5
397,396,396,704,737,402,718,416,407,0,0,0,0,0,0,5
398,395,396,704,737,402,719,418,409,0,0,0,0,0,0,5
399,397,397,705,737,404,719,418,410,0,0,0,0,0,0,5
399,396,396,705,736,403,719,418,409,0,0,0,0,0,0,5
398,396,396,706,736,402,719,417,407,0,0,0,0,0,0,5
398,396,395,707,734,404,719,418,409,0,0,0,0,0,0,5
398,396,396,707,736,404,720,418,409,0,0,0,0,0,0,5
398,396,396,707,734,404,720,417,408,0,0,0,0,0,0,5
398,396,395,709,734,404,720,417,408,0,0,0,0,0,0,5
398,396,395,710,734,404,720,417,409,0,0,0,0,0,0,5
397,395,395,712,734,403,720,417,408,0,0,0,0,0,0,5
397,395,391,710,733,403,719,418,408,0,0,0,0,0,0,5
398,396,395,711,736,403,719,418,410,0,0,0,0,0,0,5
399,396,396,710,734,405,720,418,410,0,0,0,0,0,0,5
398,395,395,713,734,404,720,419,410,0,0,0,0,0,0,5
399,396,396,711,736,403,720,417,411,0,0,0,0,0,0,5
398,397,396,711,735,406,720,419,411,0,0,0,0,0,0,5
397,396,396,712,734,403,721,418,410,0,0,0,0,0,0,5
398,395,395,717,734,404,721,419,410,0,0,0,0,0,0,5
399,397,397,709,736,406,720,420,411,0,0,0,0,0,0,5
399,396,397,709,734,405,720,420,412,0,0,0,0,0,0,5
399,397,397,709,735,405,720,420,412,0,0,0,0,0,0,5
399,397,397,709,734,404,720,420,413,0,0,0,0,0,0,5
397,396,396,710,736,404,720,420,413,0,0,0,0,0,0,5
398,396,394,711,736,405,720,419,412,0,0,0,0,0,0,5
399,397,397,708,736,404,721,420,413,0,0,0,0,0,0,5
398,395,397,710,735,403,720,420,412,0,0,0,0,0,0,5
400,398,398,710,736,404,721,420,416,0,0,0,0,0,0,5
401,398,398,707,736,405,721,422,415,0,0,0,0,0,0,5
400,398,398,707,736,405,721,423,416,0,0,0,0,0,0,5
400,398,398,708,736,406,721,422,415,0,0,0,0,0,0,5
400,398,398,708,736,407,721,422,416,0,0,0,0,0,0,5
399,397,398,709,736,406,721,422,417,0,0,0,0,0,0,5
401,399,399,708,736,407,721,423,417,0,0,0,0,0,0,5
401,399,398,709,736,407,721,422,416,0,0,0,0,0,0,5
401,399,398,708,736,408,721,422,417,0,0,0,0,0,0,5
401,399,399,707,737,408,721,423,417,0,0,0,0,0,0,5
401,399,399,708,736,408,721,423,417,0,0,0,0,0,0,5
401,399,399,708,736,408,721,422,414,0,0,0,0,0,0,5
400,398,398,707,736,405,721,419,412,0,0,0,0,0,0,5
400,397,397,708,736,404,721,418,410,0,0,0,0,0,0,5
398,396,396,708,736,405,721,419,410,0,0,0,0,0,0,5
399,397,397,707,736,405,722,419,411,0,0,0,0,0,0,5
399,397,397,707,736,404,722,418,407,0,0,0,0,0,0,5
