I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
444,535,534,541,715,848,603,447,634,447,425,744,417,557,421,6
486,565,562,567,717,832,621,487,649,489,425,733,418,557,420,6
484,567,565,569,718,833,624,488,650,490,421,765,421,557,420,6
486,565,565,568,718,834,625,489,651,489,425,744,418,557,419,6
446,539,538,543,714,848,626,489,652,490,425,745,419,558,421,6
485,564,562,568,719,836,625,487,651,489,425,727,417,556,418,6
485,562,560,568,720,836,623,488,651,488,425,741,417,557,420,6
485,565,564,569,720,836,624,489,651,489,425,746,420,559,423,6
487,567,564,570,721,835,626,489,651,488,425,725,417,557,421,6
484,565,562,569,720,836,625,488,651,487,425,730,416,556,420,6
483,560,559,567,718,837,623,486,635,446,425,740,423,533,430,6
442,530,528,538,716,850,602,446,634,446,425,740,423,530,430,6
440,528,524,533,709,849,598,440,631,440,425,740,423,527,430,6
435,520,518,525,709,849,594,437,629,439,425,740,423,523,430,6
437,528,526,526,710,850,596,441,628,440,425,740,423,528,430,6
438,529,528,522,708,851,598,442,630,442,425,740,423,533,430,6
437,526,524,519,707,851,593,440,632,441,425,740,423,534,430,6
439,529,528,519,712,852,594,443,633,443,425,740,423,534,430,6
436,522,521,527,708,852,592,438,632,437,425,740,423,530,430,6
435,518,515,527,709,852,593,440,633,439,425,740,423,527,416,6
479,554,551,560,718,839,614,478,649,477,425,740,410,550,417,6
475,543,539,559,718,841,614,477,648,477,425,738,409,548,412,6
473,539,537,561,715,841,614,477,648,470,425,729,408,551,414,6
477,548,547,564,719,839,618,483,651,484,425,754,416,555,419,6
481,556,555,570,719,839,620,486,652,486,425,756,416,556,419,6
482,556,555,571,721,838,621,486,651,485,425,749,417,557,422,6
482,559,557,573,720,838,622,488,653,486,425,737,415,557,421,6
483,563,562,576,722,839,623,489,654,489,425,753,418,559,421,6
481,562,560,579,723,839,624,488,654,489,425,740,418,559,420,6
486,565,563,579,718,853,605,449,639,449,425,740,423,540,430,6
445,539,538,558,719,853,604,448,639,448,425,740,423,539,430,6
445,539,537,558,719,853,605,448,639,448,425,740,423,539,430,6
445,537,535,557,723,840,624,488,654,487,425,726,415,558,420,6
484,561,559,581,724,841,625,487,655,487,425,731,417,558,421,6
485,564,561,582,724,841,626,489,657,489,425,748,419,558,420,6
482,557,557,577,721,842,621,484,657,484,425,744,415,551,420,6
480,553,550,570,718,842,617,483,656,480,425,740,411,546,417,6
476,544,541,566,718,843,614,479,655,480,425,741,407,546,410,6
441,531,530,542,709,854,595,443,642,444,425,740,423,525,430,6
443,539,537,546,716,853,599,446,643,447,425,740,423,527,430,6
445,541,539,550,720,854,600,448,645,448,425,740,423,530,430,6
446,542,540,552,718,854,602,449,645,449,425,740,423,535,430,6
447,543,541,555,718,854,601,449,645,448,425,740,423,535,430,6
444,539,536,556,718,853,599,448,645,447,425,740,423,535,430,6
444,537,534,559,718,853,600,447,644,448,425,740,423,535,430,6
445,536,533,562,721,854,601,448,645,488,422,759,420,560,426,6
486,565,563,586,726,841,622,488,659,487,425,736,416,558,422,6
485,562,560,587,724,841,622,488,658,487,425,735,418,559,420,6
485,561,559,589,724,841,622,488,659,487,425,737,416,559,421,6
483,559,558,590,726,843,602,447,643,446,425,740,423,540,430,6
446,537,535,569,722,853,604,449,644,449,425,740,423,542,430,6
447,537,536,571,722,852,606,450,645,450,425,740,423,543,430,6
447,538,536,572,722,854,606,451,645,450,425,740,423,544,430,6
447,538,536,573,721,853,607,450,645,451,425,740,423,546,430,6
448,539,538,575,723,854,607,451,646,451,425,740,423,546,430,6
448,539,537,575,723,854,607,450,646,451,425,740,423,547,430,6
448,539,538,575,723,854,607,451,645,451,425,740,423,547,430,6
448,540,538,576,722,854,608,451,646,451,425,740,423,547,430,6
448,540,538,576,723,854,607,451,645,451,425,740,423,547,430,6
449,540,538,578,724,854,608,451,645,450,425,740,423,548,430,6
448,542,540,579,723,853,609,452,646,452,425,740,423,548,430,6
450,546,543,580,724,854,609,453,646,453,425,740,423,549,430,6
450,545,543,580,725,853,609,453,646,453,425,740,423,550,430,6
450,544,542,580,724,853,610,454,646,453,425,740,423,551,430,6
451,545,543,580,726,853,610,454,647,453,425,740,423,551,430,6
451,546,544,582,724,853,610,454,647,454,425,740,423,551,430,6
452,547,545,582,724,853,610,454,646,454,425,740,423,551,430,6
451,546,544,581,725,853,610,454,647,454,425,740,423,552,430,6
451,547,545,582,725,854,610,453,646,454,425,740,423,552,430,6
452,548,546,583,724,854,611,455,647,455,425,740,423,553,430,6
452,548,547,583,725,854,611,455,647,455,425,740,423,552,430,6
452,549,547,583,725,854,611,456,647,455,425,740,423,553,430,6
452,549,548,584,726,854,611,456,647,456,425,740,423,553,430,6
452,549,547,584,725,853,612,456,647,455,425,740,423,553,430,6
452,549,547,583,724,854,612,455,647,455,425,740,423,553,430,6
452,548,546,583,724,853,611,455,647,455,425,740,423,553,430,6
452,546,543,583,724,853,611,455,647,455,425,740,423,553,430,6
452,548,547,584,725,854,611,455,647,455,425,740,423,553,430,6
453,549,547,585,725,853,612,456,647,456,425,740,423,554,430,6
452,548,546,581,726,854,612,456,647,455,425,740,423,554,430,6
452,550,548,582,726,854,612,457,648,456,425,740,423,554,430,6
453,551,550,583,727,853,613,457,648,457,425,740,423,554,430,6
453,550,548,582,728,854,612,456,648,456,425,740,423,554,430,6
452,549,548,582,726,854,612,456,648,456,425,740,423,554,430,6
453,549,548,583,727,854,612,457,648,456,425,740,423,555,430,6
453,549,547,582,727,854,612,456,648,456,425,740,423,554,430,6
453,550,548,583,727,854,613,457,648,456,425,740,423,554,430,6
453,550,547,582,729,853,613,456,648,456,425,740,423,556,430,6
454,550,549,583,728,853,613,457,648,457,425,740,423,555,430,6
453,550,549,583,727,853,613,457,648,456,425,740,423,556,430,6
454,551,549,583,727,854,613,457,648,457,425,740,423,556,430,6
454,552,550,584,729,854,613,457,648,457,425,740,423,555,430,6
454,552,550,584,726,853,613,457,649,457,425,740,423,555,430,6
455,553,551,584,728,853,613,457,648,456,425,740,423,555,430,6
454,552,550,584,728,853,613,457,648,457,425,740,423,555,430,6
454,551,549,585,728,853,613,456,648,456,425,740,423,555,430,6
453,549,547,584,729,853,613,457,647,456,425,740,423,555,430,6
454,551,549,584,728,852,613,456,648,457,425,740,423,555,430,6
454,551,548,584,727,853,613,456,647,457,425,740,423,555,430,6
455,551,550,585,728,853,613,457,647,457,425,740,423,555,430,6
454,551,547,584,729,854,613,456,647,456,425,740,423,555,430,6
454,551,549,584,728,853,613,457,647,456,425,740,423,555,430,6
453,549,547,584,727,853,613,457,647,457,425,740,423,555,430,6
453,551,547,584,728,853,613,456,647,456,425,740,423,555,430,6
453,548,549,584,727,853,613,456,646,456,425,740,423,555,430,6
454,550,548,584,728,853,613,457,647,456,425,740,423,556,430,6
453,551,549,585,728,854,613,457,647,457,425,740,423,556,430,6
455,551,549,585,728,853,613,457,647,456,425,740,423,556,430,6
453,549,547,585,728,853,613,456,648,456,425,740,423,555,430,6
453,549,547,584,726,854,612,456,647,454,425,740,423,553,430,6
450,543,541,583,725,854,610,452,647,452,425,740,423,550,430,6
449,539,536,580,724,855,609,450,646,450,425,740,423,549,430,6
449,538,537,579,724,855,609,451,647,452,425,740,423,551,430,6
450,543,542,582,724,856,609,452,647,452,425,740,423,553,430,6
451,545,543,583,725,855,611,455,648,454,425,740,423,552,430,6
451,545,542,582,723,855,610,453,647,453,425,740,423,550,430,6
451,544,542,585,724,855,611,454,648,454,425,740,423,554,430,6
452,546,543,586,727,854,612,455,648,455,425,740,423,555,430,6
451,545,543,586,728,855,613,455,648,455,425,740,423,556,430,6
452,545,543,588,727,855,614,455,649,455,425,740,423,556,430,6
452,545,543,589,728,855,613,456,649,455,425,740,423,557,430,6
453,546,544,592,728,855,613,456,649,456,425,740,423,558,430,6
453,547,545,592,727,855,613,456,648,457,425,740,423,559,430,6
454,548,546,593,728,855,613,456,649,457,425,740,423,559,430,6
455,550,549,594,729,855,614,457,649,457,425,740,423,560,430,6
454,548,545,594,729,855,614,457,649,457,425,740,423,560,430,6
455,551,550,595,731,855,615,458,650,458,425,740,423,559,430,6
456,553,548,595,730,855,615,458,650,458,425,740,423,560,430,6
456,553,551,595,731,855,615,459,650,458,425,740,423,560,430,6
457,555,553,597,733,855,616,460,650,458,425,740,423,560,430,6
456,554,552,597,728,854,615,458,650,458,425,740,423,559,430,6
456,554,551,597,728,855,615,458,650,458,425,740,423,558,430,6
