I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
541,569,565,700,758,415,676,496,517,489,410,410,495,615,410,7
540,568,564,699,757,415,676,496,517,490,410,411,496,615,411,7
543,569,566,700,758,415,676,497,518,491,411,412,497,615,411,7
543,569,566,700,757,415,676,497,520,490,411,411,497,615,411,7
541,569,565,699,757,415,676,496,518,490,410,410,496,615,410,7
542,568,565,699,757,415,676,496,518,488,409,410,496,615,409,7
541,568,564,699,757,415,676,496,517,489,411,411,497,615,411,7
539,569,565,700,758,415,676,497,519,490,411,411,498,615,411,7
539,570,566,700,758,415,676,496,520,489,410,411,497,615,411,7
539,568,566,699,758,415,677,497,520,490,411,411,497,615,411,7
537,569,566,699,757,415,677,497,522,490,411,411,497,615,411,7
539,570,567,700,757,415,678,498,523,491,412,412,497,615,411,7
540,570,567,700,757,415,677,498,521,491,411,412,497,615,411,7
539,571,566,700,757,415,677,498,522,491,411,411,497,615,411,7
535,569,566,700,756,415,677,497,522,490,411,411,497,615,411,7
536,568,564,700,756,415,677,496,521,490,410,410,496,615,410,7
539,569,565,700,755,415,677,498,522,490,410,411,497,615,411,7
540,568,566,700,756,415,677,497,522,489,411,411,496,615,410,7
538,569,565,700,755,415,677,497,523,490,410,410,497,615,411,7
539,569,566,701,756,415,678,497,523,490,411,411,497,615,411,7
540,570,566,700,755,415,677,498,521,490,411,412,498,615,412,7
541,571,567,701,757,415,678,498,524,492,412,413,500,615,413,7
542,571,568,701,757,415,679,499,525,492,413,413,501,611,412,7
542,571,568,701,757,415,678,498,522,492,412,413,500,615,412,7
542,572,568,701,757,415,679,499,524,492,412,413,502,610,412,7
541,571,567,701,757,415,679,498,524,492,413,413,500,615,412,7
542,571,568,701,757,415,679,498,524,492,412,412,499,615,412,7
541,571,568,701,758,415,678,498,523,491,412,412,498,615,412,7
539,571,567,701,757,415,677,498,521,490,411,412,496,611,411,7
540,571,567,701,756,415,678,498,522,491,412,412,497,612,411,7
542,570,567,700,756,415,677,497,521,491,411,412,498,613,411,7
540,570,566,699,755,415,674,497,520,489,410,410,496,615,410,7
536,568,565,698,755,415,674,494,514,488,410,410,494,615,409,7
537,568,564,699,755,415,675,495,511,487,408,409,495,612,409,7
536,566,562,698,754,415,675,494,508,485,407,408,496,615,407,7
536,564,560,697,754,415,673,489,497,482,404,404,494,615,402,7
532,559,555,696,753,415,671,484,485,477,408,410,492,615,405,7
530,555,551,696,752,415,668,480,477,473,408,410,491,615,405,7
528,549,545,695,739,415,666,475,469,467,408,410,486,615,405,7
523,537,534,694,730,415,666,468,461,460,408,410,480,615,405,7
522,526,523,695,736,416,663,460,454,454,408,410,474,615,405,7
522,524,522,695,739,416,662,459,452,454,408,410,475,615,405,7
522,521,520,695,725,416,663,458,453,454,408,410,474,615,405,7
523,514,511,695,735,416,662,454,448,447,408,410,467,615,405,7
520,509,507,695,731,416,662,452,447,448,408,410,471,615,405,7
524,512,509,697,733,416,665,456,451,451,408,410,476,615,405,7
530,517,515,698,738,416,667,460,455,454,408,410,478,615,405,7
529,522,519,698,741,416,668,462,457,457,408,410,480,615,405,7
535,526,524,698,747,416,669,466,460,460,408,410,483,615,405,7
534,529,526,699,749,416,670,467,461,461,408,410,483,615,405,7
532,529,526,698,739,416,669,467,460,460,408,410,484,615,405,7
534,532,528,698,742,416,669,469,461,462,408,410,488,615,405,7
535,533,531,699,749,416,670,470,464,464,408,410,488,615,405,7
536,535,532,700,749,416,671,472,465,466,408,410,489,615,405,7
538,536,533,700,731,416,669,467,464,464,408,410,491,615,405,7
525,537,532,698,745,416,667,474,466,467,408,410,495,615,405,7
536,536,532,697,736,416,666,471,463,464,408,410,495,615,405,7
541,539,536,697,745,416,669,474,467,468,408,410,501,615,405,7
543,542,539,698,745,416,672,475,469,469,408,410,504,615,405,7
545,543,540,698,745,416,670,475,469,471,408,410,505,615,405,7
545,544,541,700,746,416,672,478,471,472,408,410,508,615,405,7
544,547,543,700,748,416,673,479,472,473,408,410,508,615,405,7
546,548,545,701,748,416,674,479,473,474,408,410,507,615,405,7
543,548,545,701,749,416,675,480,473,474,408,410,506,615,405,7
536,548,545,701,749,416,676,480,474,475,408,410,507,615,405,7
537,550,547,702,750,416,677,481,473,474,408,410,504,615,405,7
533,548,543,700,736,416,676,479,476,473,408,410,504,615,405,7
